City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Banda Aceh,ID,76.08,clear sky,5.5577,95.3222,Hotel 61
557,Achutupo,PA,80.17,light rain,9.2,-77.9833,Akwadup Lodge
558,Kloulklubed,PW,73.9,overcast clouds,7.0419,134.2556,The Adventures Inn
564,The Valley,AI,82.26,few clouds,18.217,-63.0578,CeBlue
576,Akyab,MM,72.18,clear sky,20.15,92.9,Yuzana Aung Motel 1
579,Riyadh,SA,77.14,clear sky,24.6877,46.7219,White Palace Hotel
582,Moerai,PF,81.79,light rain,-22.4333,-151.3333,Manotel Rurutu
583,Skeldon,GY,79.77,overcast clouds,5.8833,-57.1333,Classic International Hotel
588,Kahului,US,79.97,few clouds,20.8947,-156.47,Maui Seaside Hotel
589,Neiafu,TO,81.28,moderate rain,-18.65,-173.9833,Port Wine Guest House
590,Maroantsetra,MG,75.96,overcast clouds,-15.4333,49.7333,Coco Beach
598,Mitsamiouli,KM,81.77,overcast clouds,-11.3847,43.2844,Hotel le Paradis
601,Balkanabat,TM,72.07,broken clouds,39.5108,54.3671,Nebitçi
602,Mahajanga,MG,73.42,thunderstorm,-15.7167,46.3167,Vahiny Hotel
604,Isangel,VU,79.27,few clouds,-19.55,169.2667,Tanna Lodge
607,Almeirim,BR,81.81,scattered clouds,-1.5233,-52.5817,Kapejar Hotel
622,Pontes E Lacerda,BR,85.66,broken clouds,-15.2261,-59.3353,Hotel Avenida
623,Novo Aripuana,BR,80.37,moderate rain,-5.1206,-60.3797,Hotel Novo Aripuanã
627,Randolph,US,70.77,clear sky,35.7001,-79.8164,Quality Inn
634,Beloha,MG,73.24,light rain,-25.1667,45.05,Hôtel Oliv
636,Coromandel,BR,72.68,overcast clouds,-18.4733,-47.2003,Hotel Rodoviário
637,Soyo,AO,78.13,broken clouds,-6.1349,12.3689,Hotel Maria Teres
642,Lubao,PH,73.47,clear sky,14.9167,120.55,Hacienda de Gracia Resort
643,Sibu,MY,75.51,light rain,2.3,111.8167,The Paramount Hotel
651,Capinopolis,BR,76.77,scattered clouds,-18.6819,-49.5697,Hotel Di Roma
659,Ternate,ID,78.78,scattered clouds,0.8,127.4,Boulivard ternate
667,Itarema,BR,80.38,light rain,-2.9248,-39.9167,Pousada Oásis
668,Jacareacanga,BR,81.3,moderate rain,-6.2222,-57.7528,Hotel São Cristovão
691,Imbituba,BR,76.06,scattered clouds,-28.24,-48.6703,Silvestre Praia Hotel
699,Sal Rei,CV,70.52,clear sky,16.1833,-22.9167,Hotel Marine Club
